Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
4663	Pahud	PAHUD	Charles			H	1890-1959		1890		1959		0	0	0	0	1	0	0		médecin homéopathe / bellettrien	médecine homéopathique / Société Belles-Lettres	VDAS	VDAC	12/07/2005	11/04/2010	BS	1	0	0
4664	Secrétan	SECRETAN	Jacques			H	1897-1964	Etoy	1897	1897.05.13	1964	25/07/1964	0	0	0	0	1	0	0		avocat / enseignant / bellettrien	droit / enseignement / Société Belles-Lettres	VDAS	 	13/07/2005	16/10/2013	BS	1	0	0
4665	Secrétan	SECRETAN	Philippe			H	1889-1965	Lausanne	1889	1889.12.27	1965	20/05/1965	0	0	0	0	1	0	0		avocat / bellettrien	droit / politique / Société Belles-Lettres	VDAS	 	13/07/2005	29/10/2013	BS	1	0	0
4666	Thillot	THILLOT	Paul			H	1892-1967		1892		1967		0	0	0	0	1	0	0		médecin	médecine tropicale	VDAS	 	13/07/2005	07/03/2010	BS	1	0	0
4667	Treyvaud	TREYVAUD	Otto			H	1890-1958		1890		1958		0	0	0	0	1	0	0		enseignant / journaliste / bellettrien	enseignement / presse / Société Belles-Lettres	VDAC	VDAS	13/07/2005	06/03/2010	BS	1	0	0
4668	Weiss	WEISS	Gabriel de			H	1871-1939	Lausanne	1871	1871.07.29	1939	29/01/1939	0	0	0	0	1	0	0		avocat / enseignant	droit / enseignement	VDAS	 	13/07/2005	18/10/2013	BS	1	0	0
4669	Secrétan	SECRETAN	François			h	1862-1907		1862		1907		0	0	0	0	1	0	0		avocat / juge	droit / politique	VDAS	 	13/07/2005	13/03/2010	BS	1	0	0
4670	Dufour	DUFOUR	Alfred			H	1838-1915		1838		1915		0	0	0	0	1	0	0		avocat / planteur (Amérique) / journaliste / député / bellettrien	droit / journalisme / Société Belles-Lettres			13/07/2005	19/06/2006		1	0	0
4671	Hermenjat	HERMENJAT	Louis			H	1865-1891		1865		1891		0	0	0	0	1	0	0		enseignant / bellettrien	enseignement / Société Belles-Lettres	VDAS	VDAC	14/07/2005	01/08/2010	BS	1	0	0
4673	Goldstein	GOLDSTEIN	Henri			H	1897-1987		1897		1987		0	0	0	0	1	0	0		professeur	enseignement			14/07/2005	14/07/2005		1	0	0
4674	Martin	MARTIN	Paul			H	1901-1987		1901		1987		0	0	0	0	0	1	0	marp	médecin / sportif / peintre	sport / médecine / peinture	VDAS	VDAC	14/07/2005	26/10/2011	JH	1	0	0
4675	Chausson	CHAUSSON	Jacques			H	1901-1988	Lausanne	1901	17/01/1901	1988	21/05/1988	0	0	0	0	0	1	0		juge / bellettrien	droit / Société Belles-Lettres	 	 	15/07/2005	24/10/2013	BS	1	0	0
4676	Vallotton	VALLOTTON	Paul-Adrien			H	1898-1988	Lausanne	1898	1898.10.21	1988	14/12/1988	0	0	0	0	1	0	0		avocat	droit	VDAS	 	15/07/2005	23/10/2013	BS	1	0	0
4677	Evard	EVARD	Blaise			H	1941-1989	Neuchâtel	1941		1989		0	0	0	0	0	1	0				 	 	15/07/2005	15/11/2013	STAG1	1	0	0
4678	Adout	ADOUT	Jacques	Jacques Balitzer		H	1914-1990	Lausanne	1914	22/09/1914	1990	04/03/1990	0	0	0	0	0	1	0		chroniqueur radio / enseignant / journaliste / acteur / bellettrien	journalisme / enseignement  /  théâtre / Société Belles-Lettres	VDAC	 	15/07/2005	10/02/2017	BS	1	0	0
4679	Margot	MARGOT	Ami	Ami-Louis Margot		H	1909-1990		1909		1990		0	0	0	0	0	1	0		pasteur / bellettrien	religion / Société Belles-Lettres	VDAS		15/07/2005	03/12/2008	BS	1	0	0
